Id 	 Ground_Truth 	 Prediction
 1230 	-1	-1
 844 	-1	-1
 1400 	-1	-1
 872 	1	-1
 869 	-1	-1
 1392 	-1	-1
 888 	-1	-1
 1293 	-1	-1
 1245 	-1	-1
 1424 	-1	-1
 725 	1	-1
 1104 	-1	-1
 1202 	-1	-1
 2149 	-1	-1
 921 	-1	-1
 1431 	1	-1
 730 	-1	-1
 852 	-1	-1
 1068 	1	-1
 2175 	-1	-1
 804 	-1	-1
 1417 	1	-1
 897 	-1	-1
 1386 	1	-1
 769 	-1	-1
 1205 	-1	-1
 735 	-1	-1
 863 	-1	-1
 1125 	1	-1
 1215 	-1	-1
 948 	-1	-1
 2095 	-1	-1
 1064 	-1	1
 1057 	-1	-1
 1388 	1	-1
 2189 	-1	-1
 1313 	-1	-1
 1071 	1	-1
 1059 	1	-1
 861 	-1	-1
 1384 	-1	-1
 848 	-1	-1
 2090 	-1	-1
 1419 	-1	-1
 2113 	-1	-1
 1088 	-1	-1
 1389 	-1	-1
 1106 	1	-1
 1128 	-1	-1
 1242 	-1	-1
 1232 	1	-1
 1000 	1	-1
 1311 	1	-1
 1142 	-1	-1
 1179 	1	-1
 1401 	1	-1
 834 	-1	-1
 906 	-1	-1
 1426 	-1	-1
 891 	1	-1
 845 	-1	-1
 1212 	-1	-1
 1204 	-1	-1
 896 	-1	-1
 894 	-1	-1
 1147 	-1	-1
 1066 	-1	-1
 1357 	-1	-1
 1394 	1	-1
 1423 	-1	-1
 883 	-1	-1
 1176 	-1	-1
 2194 	-1	-1
 1018 	1	-1
 2111 	-1	-1
 919 	-1	-1
 1365 	-1	-1
 997 	1	-1
 801 	1	-1
 1337 	-1	-1
 2123 	-1	-1
 1042 	-1	-1
 1010 	1	-1
 1174 	-1	-1
 931 	-1	-1
 1323 	-1	-1
 1338 	-1	-1
 905 	-1	-1
 2112 	-1	-1
 882 	-1	-1
 1310 	-1	-1
 1227 	1	-1
 1383 	-1	-1
 994 	-1	-1
 1420 	-1	-1
 1294 	1	-1
 846 	-1	-1
 2110 	-1	-1
 2103 	-1	-1
 1211 	-1	-1
 1332 	-1	-1
 1352 	-1	-1
 1228 	1	-1
 803 	-1	-1
 1151 	-1	-1
 815 	-1	-1
 1353 	1	-1
 1362 	-1	-1
 2130 	-1	-1
 1108 	-1	-1
 995 	-1	-1
 1398 	-1	-1
 1099 	1	-1
 1322 	1	-1
 2186 	-1	-1
 724 	1	-1
 1380 	-1	-1
 2107 	-1	-1
 1241 	1	-1
 1047 	-1	-1
 908 	-1	1
 2120 	-1	-1
 2097 	1	-1
 631 	-1	-1
 1219 	1	-1
 2152 	-1	-1
 941 	-1	-1
 1418 	-1	-1
 825 	-1	-1
 1314 	-1	-1
 904 	-1	-1
 855 	-1	-1
 912 	-1	-1
 2176 	1	-1
 2165 	-1	-1
 860 	-1	-1
 879 	-1	-1
 1200 	-1	-1
 1117 	-1	-1
 1361 	-1	-1
 1041 	1	-1
 1183 	-1	-1
 1295 	-1	-1
 954 	1	-1
 1351 	-1	-1
 822 	-1	-1
 1356 	1	-1
 1049 	1	-1
 1017 	-1	-1
 2088 	1	-1
 1411 	-1	-1
 760 	1	-1
 1355 	-1	-1
 1134 	-1	-1
 1012 	-1	-1
 823 	-1	-1
 838 	-1	-1
 2105 	-1	-1
 2127 	-1	-1
 1317 	1	-1
 1091 	1	-1
 806 	-1	-1
 831 	-1	1
 1159 	-1	-1
 900 	-1	-1
 1119 	1	-1
 1158 	-1	-1
 1235 	-1	-1
 843 	-1	-1
 2193 	1	-1
 821 	-1	-1
 1402 	1	-1
 816 	-1	-1
 1146 	-1	-1
 1379 	1	-1
 1157 	-1	-1
 1412 	-1	-1
 1326 	-1	-1
 1046 	1	-1
 1208 	-1	-1
 940 	1	-1
 2155 	-1	-1
 830 	1	-1
 809 	1	-1
 1409 	-1	-1
 1177 	-1	-1
 1199 	-1	-1
 2134 	-1	-1
 1148 	-1	-1
 2132 	-1	-1
 1240 	-1	-1
 718 	-1	-1
 907 	-1	1
 1090 	-1	-1
 624 	-1	1
 1312 	1	-1
 2171 	1	-1
 1297 	1	-1
 748 	-1	-1
 813 	-1	-1
 2089 	1	-1
 2197 	-1	-1
 833 	-1	-1
 828 	-1	-1
 1414 	-1	-1
 1427 	1	-1
 1121 	-1	-1
 922 	-1	-1
 1131 	1	-1
 1407 	-1	-1
 1045 	-1	-1
 913 	-1	-1
 1429 	-1	-1
 739 	1	-1
 1350 	-1	-1
 1173 	-1	-1
 2170 	-1	-1
 1167 	-1	-1
 1432 	-1	-1
 2136 	-1	-1
 2154 	1	-1
 808 	-1	-1
 841 	-1	-1
 1300 	-1	-1
 1324 	1	-1
 1334 	-1	-1
 987 	1	-1
 1168 	-1	-1
 623 	1	1
 1181 	-1	-1
 1175 	-1	-1
 829 	-1	-1
 939 	-1	-1
 1387 	-1	-1
 1122 	1	-1
 920 	-1	-1
 1399 	-1	-1
 1101 	1	-1
 2084 	-1	-1
 1367 	-1	-1
 1060 	1	-1
 1857 	-1	-1
 876 	-1	-1
 720 	-1	-1
 1339 	-1	1
 1377 	-1	-1
 2190 	-1	-1
 2139 	-1	-1
 625 	-1	1
 2143 	-1	-1
 871 	-1	-1
 1152 	-1	-1
 937 	-1	-1
 2162 	1	1
 924 	-1	-1
 867 	-1	-1
 1056 	-1	-1
 2184 	-1	-1
 890 	-1	-1
 1058 	-1	-1
 1335 	-1	-1
 1299 	1	-1
 1233 	-1	-1
 936 	-1	-1
 2196 	-1	-1
 1368 	-1	-1
 1325 	1	-1
 1376 	-1	-1
 743 	-1	-1
 859 	-1	-1
 864 	-1	-1
 2180 	-1	-1
 1203 	-1	-1
 1341 	-1	-1
 2116 	-1	-1
 850 	-1	-1
 2164 	1	-1
 1214 	1	-1
 999 	-1	-1
 2150 	-1	-1
 1224 	1	-1
 1220 	1	-1
 909 	-1	-1
 2156 	-1	-1
 722 	-1	-1
 1149 	-1	-1
 1013 	-1	-1
 1438 	-1	-1
 802 	-1	-1
 1065 	1	-1
 1096 	-1	-1
 1062 	-1	-1
 925 	-1	-1
 2172 	-1	-1
 1043 	-1	-1
 926 	-1	-1
 2181 	1	-1
 764 	-1	-1
 1092 	1	-1
 1061 	1	-1
 1161 	-1	-1
 956 	-1	-1
 738 	-1	-1
 1002 	1	-1
 1296 	-1	-1
 628 	-1	1
 1052 	-1	-1
 824 	-1	-1
 2142 	-1	-1
 2151 	-1	-1
 1231 	-1	-1
 1180 	-1	-1
 1239 	-1	-1
 2192 	-1	-1
 2159 	-1	-1
 2166 	1	-1
 1395 	-1	-1
 1226 	-1	-1
 1301 	-1	-1
 847 	-1	-1
 1005 	-1	-1
 915 	-1	-1
 1063 	-1	-1
 817 	-1	-1
 1089 	1	-1
 1067 	-1	-1
 2146 	-1	-1
 627 	1	1
 918 	1	-1
 1127 	-1	-1
 721 	-1	-1
 2083 	-1	-1
 741 	-1	-1
 1007 	-1	-1
 1014 	-1	-1
 892 	-1	-1
 1217 	-1	-1
 1218 	-1	-1
 1190 	-1	-1
 1374 	1	-1
 2141 	-1	-1
 1434 	-1	-1
 2115 	-1	-1
 944 	-1	-1
 1164 	-1	-1
 840 	1	-1
 1162 	-1	-1
 1363 	-1	-1
 1009 	-1	-1
 1415 	-1	-1
 1170 	-1	-1
 1051 	-1	-1
 1182 	-1	1
 1221 	1	-1
 2173 	-1	-1
 2109 	1	-1
 929 	-1	-1
 723 	-1	-1
 873 	-1	-1
 812 	-1	-1
 1302 	1	-1
 1020 	-1	-1
 1406 	-1	-1
 1244 	-1	-1
 1165 	-1	-1
 1172 	-1	-1
 2118 	-1	-1
 2117 	-1	-1
 719 	1	-1
 1234 	1	-1
 2104 	-1	-1
 1371 	-1	-1
 1019 	1	-1
 1250 	-1	-1
 1364 	-1	-1
 1249 	-1	-1
 942 	-1	-1
 1055 	-1	-1
 1097 	-1	-1
 1425 	-1	-1
 1015 	-1	-1
 2174 	-1	-1
 1298 	1	-1
 1440 	1	-1
 2129 	-1	-1
 754 	-1	-1
 1120 	1	-1
 2091 	-1	-1
 857 	-1	-1
 2160 	1	-1
 955 	-1	-1
 759 	1	-1
 885 	-1	-1
 819 	-1	-1
 2094 	-1	-1
 910 	-1	-1
 1207 	-1	-1
 895 	-1	-1
 1144 	-1	-1
 866 	-1	-1
 1421 	-1	-1
 1413 	1	-1
 862 	-1	-1
 1126 	-1	-1
 1382 	-1	-1
 878 	-1	-1
 2185 	1	-1
 731 	-1	-1
 1370 	-1	-1
 1321 	-1	-1
 2087 	-1	-1
 950 	-1	-1
 1437 	-1	-1
 2082 	1	-1
 889 	-1	-1
 1145 	-1	-1
 1373 	-1	-1
 1223 	1	-1
 945 	-1	-1
 880 	-1	-1
 1087 	-1	-1
 2178 	-1	-1
 993 	-1	-1
 903 	-1	-1
 2098 	-1	-1
 1372 	-1	-1
 2163 	-1	-1
 1118 	-1	-1
 902 	-1	-1
 923 	-1	-1
 1416 	-1	-1
 2086 	-1	-1
 733 	1	-1
 1393 	-1	-1
 810 	-1	-1
 820 	-1	-1
 1216 	1	-1
 826 	-1	-1
 2106 	1	-1
 898 	-1	-1
 899 	1	-1
 2145 	1	-1
 887 	1	-1
 1103 	1	-1
 2138 	-1	-1
 1344 	1	-1
 1328 	-1	-1
 1435 	-1	-1
 2085 	-1	-1
 853 	-1	-1
 1184 	-1	-1
 766 	-1	-1
 1129 	-1	-1
 1143 	-1	-1
 1109 	-1	-1
 2114 	-1	-1
 835 	-1	-1
 1123 	-1	-1
 758 	1	-1
 1105 	1	-1
 2187 	-1	-1
 726 	-1	-1
 836 	-1	-1
 877 	-1	-1
 2092 	-1	-1
 1048 	1	-1
 881 	-1	-1
 1428 	-1	-1
 1405 	-1	-1
 1150 	-1	-1
 1320 	-1	-1
 1022 	-1	-1
 2093 	-1	-1
 2125 	-1	-1
 1347 	-1	-1
 1185 	-1	-1
 1004 	-1	-1
 1318 	-1	-1
 1366 	1	-1
 1130 	-1	-1
 1222 	-1	-1
 1433 	-1	-1
 1160 	-1	-1
 996 	-1	-1
 1054 	-1	-1
